BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS1020,7140,Leiblin Dr After Carnation Cr (7140),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1021,7141,Leiblin Dr After Elmdale Cr (7141),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1023,7143,Leiblin Dr Before Juniper Cr (7143),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1019,7139,Leiblin Dr Opposite Avon Cr (7139),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1022,7142,Leiblin Dr Opposite Guildwood Cr (7142),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS592,7179,Maplewood Dr After Eisener St (7179),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS591,7178,Maplewood Dr Before Eisener St (7178),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS594,7181,Maplewood Dr Before Norway Maple Dr (7181),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS593,7180,Maplewood Dr Before St Margarets Bay Rd (7180),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS654,7184,Margaret Rd After Knob Hill Cr (7184),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS596,7183,Margaret Rd Before Civic 43 (7183),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS595,7182,Margaret Rd Before Mountain Rd (7182),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS386,7241,Milsom Ave Before Arlington Ave (7241),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS398,7253,Mountain Rd After Civic 17 (7253),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS399,7254,Mountain Rd Before Wildwood Ave (7254),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1104,7392,Old Sambro Rd At Civic 143 (7392),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1979,6608,Old Sambro Rd Before Schnare St (6608),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1105,7393,Old Sambro Rd Before Sussex St (7393),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1162,8579,Osborne St After Sullivan Terr (8579),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS656,7187,Osborne St After Withrod Dr (7187),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1109,7397,Osborne St At Civic 7 (7397),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3270,2175,Pine Grove Dr After Theakston Way (2175),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3271,2176,Pine Grove Dr At Civic 24 (2176),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1914,8094,Purcells Cove Rd After Aarons Way (8094),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2200,8120,Purcells Cove Rd After Albion Rd (8120),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1901,8104,Purcells Cove Rd After Battery Dr (8104),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS1715,8080,Purcells Cove Rd After Civic 2310 (8080),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2277,8087,Purcells Cove Rd After Halls Rd (8087),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2278,8088,Purcells Cove Rd After Halls Rd (8088),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2281,8091,Purcells Cove Rd After Litchfield Cr (8091),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2282,8092,Purcells Cove Rd After Wenlock Grv (8092),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1913,8093,Purcells Cove Rd After Williams Lake Rd (8093),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2501,8083,Purcells Cove Rd At Braeburn Rd (8083),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1905,8108,Purcells Cove Rd At Civic 2372 (8108),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS974,8102,Purcells Cove Rd At Civic 2903 (8102),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1900,8103,Purcells Cove Rd At Civic 2907 (8103),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1903,8106,Purcells Cove Rd At Civic 3081 (8106),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2502,8084,Purcells Cove Rd At Ferguson Cove Rd (8084),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS968,8096,Purcells Cove Rd At Melvin Rd (8096),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS973,8101,Purcells Cove Rd At Rosborough Loop (8101),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1915,8095,Purcells Cove Rd At St Cecelia Dr (8095),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS2197,8117,Purcells Cove Rd Before Aarons Way (8117),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1906,8109,Purcells Cove Rd Before Battery Dr (8109),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1907,8110,Purcells Cove Rd Before Country Cr (8110),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1908,8111,Purcells Cove Rd Before Homestead Rd (8111),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1909,8112,Purcells Cove Rd Before Keefe Dr (8112),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1911,8114,Purcells Cove Rd Before Oceanview Dr (8114),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1912,8115,Purcells Cove Rd Before Rocklyn Rd (8115),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS1904,8107,Purcells Cove Rd Before Sailboat Ln (8107),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS2201,8121,Purcells Cove Rd Before Wenlock Grv (8121),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS872,8082,Purcells Cove Rd Opposite Civic 2310 (8082),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS642,8125,Purcells Cove Rd Opposite Civic 2372 (8125),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1902,8105,Purcells Cove Rd Opposite Civic 3101 (8105),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS640,8123,Purcells Cove Rd Opposite Devils Hill Rd (8123),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS641,8124,Purcells Cove Rd Opposite Ferguson Cove Rd (8124),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1910,8113,Purcells Cove Rd Opposite Melvin Rd (8113),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS972,8100,Purcells Cove Rd Opposite Pinehaven Dr (8100),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1285,8807,Ragged Lake Blvd After Prospect Rd (8807),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS958,8166,Ridgevalley Rd After Cavendish Rd (8166),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS959,8167,Ridgevalley Rd After Limerick Rd (8167),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1845,8231,Rockingstone Rd At Civic 25 (8231),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1135,8345,Springvale Ave After Joseph Howe Dr (8345),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1137,8347,Springvale Ave After Winter St (8347),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1136,8346,Springvale Ave Before Arlington Ave (8346),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1133,8343,Springvale Ave Before Winter St (8343),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1138,8348,Springvale Ave Before Winter St (8348),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS566,6182,St Margarets Bay Rd  At Wilbert Devoe Cr (6182),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS559,6175,St Margarets Bay Rd After Clearwater Dr (6175),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS466,6167,St Margarets Bay Rd After Donovon Dr (6167),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS368,6186,St Margarets Bay Rd After Governors Lake Dr (6186),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS455,6156,St Margarets Bay Rd After Greenhead Rd (6156),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS459,6160,St Margarets Bay Rd After Lakelands Blvd (6160),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS558,6174,St Margarets Bay Rd After Maplewood Dr (6174),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS371,6189,St Margarets Bay Rd After Sheppards Run (6189),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS460,6161,St Margarets Bay Rd At Civic 1820 (6161),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS448,6149,St Margarets Bay Rd At Civic 1939 (6149),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1810,8651,St Margarets Bay Rd At Long Lake Park (8651),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS453,6154,St Margarets Bay Rd Before Beech Tree Run (6154),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS450,6151,St Margarets Bay Rd Before Halfmile Ln (6151),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS565,6181,St Margarets Bay Rd Before Raines Mill Rd (6181),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS463,6164,St Margarets Bay Rd Opposite  Boylan Ln (6164),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS366,6184,St Margarets Bay Rd Opposite Civic 1264 (6184),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS442,6143,St Margarets Bay Rd Opposite Civic 1982 (6143),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS557,6173,St Margarets Bay Rd Opposite Klefenz Ln (6173),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1812,8653,St Margarets Bay Rd Opposite Long Lake Park (8653),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS465,6166,St Margarets Bay Rd Opposite Power Terr (6166),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1139,8349,St Pauls Ave Before Hebridean Dr (8349),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1305,8800,Stonehaven Rd Before Alton Dr (8800),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS693,8361,Stonehaven Rd Before Glenmore Ave (8361),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS704,8373,Tamarack Dr Before Mountain Rd (8373),STR HRM PB Area 4,,PRI2,DEXTCONT,SHELTER - STAND ALONE
BS703,8372,Tamarack Dr Opposite Medina Ct (8372),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3257,2162,Theakston Ave Before Danforth Rd (2162),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1311,8805,Walter Havill Dr After Civic 129 (8805),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1314,8813,Walter Havill Dr Before Osborne St (8813),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1313,8812,Walter Havill Dr Before Ridgestone Ct (8812),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3254,2159,Williams Lake Rd After Clovis Ave (2159),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3251,2156,Williams Lake Rd After Purcells Cove Rd (2156),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3252,2157,Williams Lake Rd After Wyndrock Dr (2157),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS3253,2158,Williams Lake Rd Before Sagewood Ln (2158),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1160,8577,Winter St Before Piers Ave (8577),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
BS1419,8627,York Redoubt Turning Loop (8627),STR HRM PB Area 4,,PRI2,DEXTCONT,STAND ALONE
,,,,,,,
BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS141,7360,North Ridge Rd After Novalea Dr (7360),STR HRM West 2,Blue Route,PRI2,HRM,STAND ALONE
BS2651,2021,Barrington St Before North St (2021),STR HRM West 2,Green Route,PRI1,HRM,SHELTER
BS1219,7045,Kempt Rd After Lady Hammond Rd (7045),STR HRM West 2,Route 2,PRI2,HRM,STAND ALONE
BS470,7093,Lady Hammond Rd After MacKintosh St (7093),STR HRM West 2,Yellow Route,PRI2,HRM,STAND ALONE
BS296,7089,Lady Hammond Rd Opposite MacKintosh St (7089),STR HRM West 2,Yellow Route,PRI2,HRM,SHELTER
,,,,,,,
BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS1984,6613,Dutch Village Rd Before Rosedale Ave (6613),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1985,6614,Dutch Village Rd Before Rufus Ave (6614),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1453,7162,Main Ave After Dunbrack St (7162),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1455,7164,Main Ave After Hillcrest St (7164),STR HRM West 3,Blue Route,PRI2,HRM,SHELTER - STAND ALONE
BS1456,7165,Main Ave After Maple St (7165),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1592,7158,Main Ave After Willett St (7158),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1459,7168,Main Ave Before Borden St (7168),STR HRM West 3,Blue Route,PRI2,HRM,SHELTER - STAND ALONE
BS1651,8242,Rosedale Ave At Civic 34 (8242),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1658,8250,Rosedale Ave At Hillcrest St (8250),STR HRM West 3,Blue Route,PRI2,HRM,SHELTER - STAND ALONE
BS1656,8248,Rosedale Ave Before Alex St (8248),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1669,8243,Rosedale Ave Before Dutch Village Rd (8243),STR HRM West 3,Blue Route,PRI2,HRM,STAND ALONE
BS1757,8498,Willett St Before Adelaide Ave (8498),STR HRM West 3,Blue Route,PRI2,HRM,SHELTER - STAND ALONE
BS1759,8500,Willett St Before Frederick Ave (8500),STR HRM West 3,Blue Route,PRI2,HRM,SHELTER - STAND ALONE
BS189,6697,Flamingo Dr After Bedford Hwy (6697),STR HRM West 3,Green Route,PRI2,HRM,
BS198,6706,Flamingo Dr After Meadowlark Cr (6706),STR HRM West 3,Green Route,PRI2,HRM,STAND ALONE
BS190,6698,Flamingo Dr After Nightingale Dr (6698),STR HRM West 3,Green Route,PRI2,HRM,STAND ALONE
BS193,6701,Flamingo Dr Before Dove St (6701),STR HRM West 3,Green Route,PRI2,HRM,
BS3354,2254,Flamingo Dr Before Oriole St (2254),STR HRM West 3,Green Route,PRI2,HRM,
BS355,9083,Thomas Raddall Dr After Regency Park Dr (9083),STR HRM West 3,Yellow Route,PRI2,HRM,STAND ALONE
BS356,9084,Thomas Raddall Dr At Civic 210 (9084),STR HRM West 3,Yellow Route,PRI2,HRM,STAND ALONE
BS360,9088,Thomas Raddall Dr Before Regency Park Dr (9088),STR HRM West 3,Yellow Route,PRI2,HRM,STAND ALONE
BS359,9087,Thomas Raddall Dr Opposite Civic 210 (9087),STR HRM West 3,Yellow Route,PRI2,HRM,STAND ALONE
,,,,,,,
BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS1472,6040,Arklow Dr After Civic 354 (6040),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1477,6045,Arklow Dr After Dalkeith Dr (6045),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1469,6037,Arklow Dr At Civic 177 (6037),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1476,6044,Arklow Dr Before John Stewart Dr (6044),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1485,6053,Astral Dr After Brookfield Ave (6053),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1482,6050,Astral Dr Before Caldwell Rd (6050),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1489,6057,Astral Dr Before Grenadier Dr (6057),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1492,6060,Astral Dr Before Spence Dr (6060),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2009,6074,Auburn Dr After Auburn Ct (6074),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1781,6070,Auburn Dr After Forest Hills Pkwy (6070),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2015,6080,Auburn Dr After John Stewart Dr (6080),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2016,6081,Auburn Dr After Leander Dr (6081),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2008,6073,Auburn Dr At Auburn Dr High School (6073),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2011,6076,Auburn Dr At Civic 200 (6076),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1780,6069,Auburn Dr Before Auburn Ct (6069),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2007,6072,Auburn Dr Before Bradorian Dr (6072),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2014,6079,Auburn Dr Before Civic 426 (6079),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2006,6071,Auburn Dr Before Leander Dr (6071),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1329,8846,Baker Dr After Basswood Run (8846),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1325,8842,Baker Dr After Coldstream Run (8842),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1334,8851,Baker Dr After Coldstream Run (8851),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1326,8843,Baker Dr After Freshwater Tr (8843),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2779,9066,Baker Dr After Lindenwood Terr (9066),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1332,9067,Baker Dr After Lindenwood Terr (9067),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1324,8841,Baker Dr After Norm Newman Dr (8841),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1328,8845,Baker Dr At Civic 220 (8845),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1330,8847,Baker Dr Before Basswood Run (8847),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1333,8850,Baker Dr Before Freshwater Tr (8850),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1335,8852,Baker Dr Before Norm Newman Dr (8852),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1331,8848,Baker Dr Opposite Civic 220 (8848),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1821,6306,Booth St After Main St (6306),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1823,6308,Bradorian Dr Before Madeira Cr (6308),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1822,6307,Bradorian Dr Opposite Madeira Cr (6307),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1827,6314,Braemar Dr After Maple Dr (6314),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS1826,6313,Braemar Dr Before Braeside Ct (6313),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS1825,6312,Braemar Dr Before Creelman Dr (6312),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS2712,6460,Breeze Dr Before Appian Way (6460),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1773,8665,Caldwell Rd After Aubrey Terr (8665),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1772,8664,Caldwell Rd After Briarwood Dr (8664),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS223,6332,Caldwell Rd After Cherrywood Dr (6332),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS224,6333,Caldwell Rd After Cow Bay Rd (6333),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS438,6349,Caldwell Rd After Delta Dr (6349),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS528,6353,Caldwell Rd After Hampton Grn (6353),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS225,6334,Caldwell Rd After Himmelman Dr (6334),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1771,8663,Caldwell Rd After Hornes Rd (8663),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2688,6789,Caldwell Rd After Kaleigh Dr (6789),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS431,6342,Caldwell Rd After Millbrook Ave (6342),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS430,6341,Caldwell Rd After Nova Terr (6341),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS425,6336,Caldwell Rd After Sherwood St (6336),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS426,6337,Caldwell Rd After Thorncrest Ct (6337),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS427,6338,Caldwell Rd After Wexford Rd (6338),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS437,6348,Caldwell Rd At Civic 280 (6348),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS527,6352,Caldwell Rd At Civic 307 (6352),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS529,6354,Caldwell Rd At Civic 692 (6354),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS526,6351,Caldwell Rd Before Cole Harbour Rd (6351),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS439,6350,Caldwell Rd Before Deerbrooke Dr (6350),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS432,6343,Caldwell Rd Before Delta Dr (6343),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS433,6344,Caldwell Rd Before Hampton Grn (6344),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS428,6339,Caldwell Rd Before Hillside Ln (6339),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS424,6335,Caldwell Rd Before Lodge Ct (6335),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS434,6345,Caldwell Rd Before Nova Terr (6345),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS429,6340,Caldwell Rd Before Seabreeze Dr (6340),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS435,6346,Caldwell Rd Before Shore Rd (6346),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS436,6347,Caldwell Rd Before Wexford Rd (6347),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS532,6357,Caledonia Rd After Dumbarton Ave (6357),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS533,6358,Caledonia Rd After Gourok Ave (6358),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS534,6359,Caledonia Rd After Main St (6359),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS536,6361,Caledonia Rd After Montebello Dr (6361),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS530,6355,Caledonia Rd After Roleika Dr (6355),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS539,6364,Caledonia Rd After Stanfield Ave (6364),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS543,6367,Caledonia Rd Before Dumbarton Ave (6367),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS537,6362,Caledonia Rd Before Gourok Ave (6362),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2090,6371,Caledonia Rd Before Kennedy Dr (6371),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS2087,6368,Caledonia Rd Before Main St (6368),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2091,6372,Caledonia Rd Before Montebello Dr (6372),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2088,6369,Caledonia Rd Before Paul David Ct (6369),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS542,6366,Caledonia Rd Before Roleika Dr (6366),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS531,6356,Caledonia Rd Before Stanfield Ave (6356),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS538,6363,Caledonia Rd Before Strath Ln (6363),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS535,6360,Caledonia Rd Before Westwood Dr (6360),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2089,6370,Caledonia Rd Before Westwood Dr (6370),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2059,6418,Cherry Brook Rd After Civic 72 (6418),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2060,6419,Cherry Brook Rd Before Main St (6419),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS2067,6426,Circassion Dr After Ellerslie Cr (6426),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2069,6428,Circassion Dr After Savona Ct (6428),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2068,6427,Circassion Dr Before Kirtland Ct (6427),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS2062,6421,Circassion Dr Before Poplar Dr (6421),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1571,6463,Colby Dr After Becks Way (6463),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1573,6465,Colby Dr After Bellroyal Ct (6465),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1574,6466,Colby Dr After Delta Dr (6466),SW Contract Zone 1,,PRI2,PRPAMAIN,SHELTER
BS1572,6464,Colby Dr At Civic 239 (6464),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1575,6467,Colby Dr Before Autumn Pl (6467),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1576,6468,Colby Dr Before Balsam Pl (6468),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1577,6469,Colby Dr Before Boling Green Cr (6469),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS1578,6470,Colby Dr Before Castlewood Dr (6470),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS170,6471,Colby Dr Before Crestwood Dr (6471),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS171,6472,Colby Dr Before Deerbrooke Dr (6472),SW Contract Zone 1,,PRI2,PRPAMAIN,
BS172,6473,Colby Dr Before Grenadier Dr (6473),SW Contract Zone 1,,PRI2,PRPAMAIN,
