BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS2681,8944,Penhorn Terminal Bay 4 (8944),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2682,8945,Penhorn Terminal Bay 5 (8945),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2683,8946,Penhorn Terminal Bay 6 (8946),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2489,8948,Penhorn Terminal Bay 8 (8948),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1250,8637,Penhorn Terminal Metrolink (8637),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL - SHELTER
BS2649,8394,Porters Lake Park & Ride (8394),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS2622,8949,Portland Hills Terminal  Bay 1 (8949),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2624,8951,Portland Hills Terminal  Bay 3 (8951),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2625,8952,Portland Hills Terminal  Bay 4 (8952),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2626,8953,Portland Hills Terminal  Bay 5 (8953),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2627,8954,Portland Hills Terminal  Bay 6 (8954),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2628,8955,Portland Hills Terminal  Bay 7 (8955),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2684,8957,Portland Hills Terminal  Bay 8 (8957),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS2647,8958,Sackville Terminal Bay 1 (8958),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2646,8967,Sackville Terminal Bay 2 (8967),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2645,8959,Sackville Terminal Bay 3 (8959),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2644,8960,Sackville Terminal Bay 4 (8960),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1244,7618,Sheldrake Lake Park and Ride (7618),HRM Facilities Maintenance Contracts,,,HRMFAC,SHELTER
BS2631,8962,Woodside Ferry Terminal Bay 1 (8962),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2633,8964,Woodside Ferry Terminal Bay 2 (8964),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2634,8965,Woodside Ferry Terminal Bay 3 (8965),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2635,8966,Woodside Ferry Terminal Bay 4 (8966),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
,,,,,,,
BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS1363,9061,Albemarle St After Duke St (9061),HRM SW  Zone 1,Route 1,PRI2,HRM,SHELTER
BS2734,6105,Barrington St After Cogswell St Bay 4 (6105),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS1880,6087,Barrington St After Duke St Bay 1 (6087),HRM SW  Zone 1,Route 1,PRI2,HRM,SHELTER
BS2180,6103,Barrington St After Prince St (6103),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS2659,6108,Barrington St At Scotia Square Bay 3 (6108),HRM SW  Zone 1,Route 1,PRI2,HRM,
BS2662,6107,Barrington St Before Duke St  Bay 2 (6107),HRM SW  Zone 1,Route 1,PRI2,HRM,SHELTER
BS2183,6106,Barrington St Before Duke St (6106),HRM SW  Zone 1,Route 1,PRI2,HRM,
